stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8380IR0125,0,Little Island,,51.907701,-8.355584,,,,
8380IR0142,0,Midleton,,51.921027,-8.175908,,,,
8480IR0069,0,Dromod,,53.859239,-7.916454,,,,
8480IR0070,0,Carrick-on-Shannon,,53.93846,-8.107176,,,,
7040IR0042,0,Newry,,54.188659,-6.362413,,,,
7040IR0090,0,Lurgan,,54.467011,-6.338528,,,,
8260IR0057,0,Kildare,,53.162778,-6.907936,,,,
8260IR0063,0,Hazelhatch and Celbridge,,53.323003,-6.523108,,,,
8310IR0019,0,Gormanston,,53.638089,-6.217406,,,,
8310IR0084,0,Dunboyne,,53.416925,-6.464602,,,,
8310IR0085,0,Enfield,,53.416677,-6.832842,,,,
8380IR0007,0,Carrigaloe,,51.869062,-8.324376,,,,
8380IR0009,0,Fota,,51.895614,-8.318616,,,,
8430IR0099,0,Tipperary,,52.470091,-8.162103,,,,
8430IR0100,0,Limerick Junction,,52.503684,-8.197243,,,,
8440IR0106,0,Waterford (Plunkett),,52.26625,-7.117956,,,,
8470IR0042,0,Ardrahan,,53.157044,-8.814752,,,,
8470IR0048,0,Woodlawn,,53.343162,-8.472313,,,,
8290IR0073,0,Edgeworthstown,,53.688865,-7.603029,,,,
8300IR0074,0,Drogheda (MacBride),,53.711842,-6.335709,,,,
8300IR0075,0,Dundalk (Clarke),,54.001087,-6.412385,,,,
8320IR0088,0,Clara,,53.339842,-7.61651,,,,
8350IR0123,0,Bray (Daly),,53.203712,-6.100194,,,,
8510IR0094,0,Collooney,,54.18643,-8.494876,,,,
8220IR0132,0,Dublin Heuston,,53.346404,-6.293487,,,,
8220IR0135,0,Grand Canal Dock,,53.339446,-6.237351,,,,
8220KISHO,0,Kishoge,,53.334408,-6.430266,,,,
8240IR0016,0,Donabate,,53.485508,-6.151344,,,,
8240IR0017,0,Howth,,53.388893,-6.074211,,,,
8240IR0024,0,Sutton,,53.391905,-6.115952,,,,
8240IR0040,0,Coolmine,,53.377506,-6.391524,,,,
8250IR0111,0,Sandycove and Glasthule,,53.288125,-6.126937,,,,
8270IR0065,0,Thomastown,,52.523049,-7.148997,,,,
8340IR0110,0,Gorey,,52.671374,-6.292235,,,,
8340IR0113,0,Rosslare Europort,,52.251407,-6.338331,,,,
8420IR0097,0,Templemore Station,,52.788104,-7.822693,,,,
8210IR0002,0,Carlow,,52.840788,-6.922622,,,,
8280IR0068,0,Portlaoise,,53.036748,-7.301227,,,,
8360IR0003,0,Ennis,,52.839215,-8.97545,,,,
8360IR0010,0,Sixmilebridge,,52.738061,-8.785265,,,,
8400IR0127,0,Limerick (Colbert),,52.658909,-8.624813,,,,
7020IR0037,0,Lisburn,,54.513863,-6.045132,,,,
7040IR0045,0,Portadown,,54.424993,-6.445312,,,,
8230IR0036,0,Clondalkin Fonthill,,53.33337,-6.406279,,,,
8260IR0055,0,Athy,,52.992466,-6.976597,,,,
8260IR0056,0,Kilcock,,53.398946,-6.6688,,,,
8260IR0059,0,Monasterevin,,53.145481,-7.063798,,,,
8330IR0107,0,Athlone,,53.426785,-7.935736,,,,
8330IR0108,0,Mullingar,,53.523035,-7.346082,,,,
8390IR0050,0,Killarney,,52.0591,-9.499003,,,,
8390IR0051,0,Rathmore,,52.085249,-9.2182,,,,
8390IR0052,0,Tralee Casement Station,,52.270977,-9.699159,,,,
8470IR0046,0,Ballinasloe,,53.336282,-8.24081,,,,
8500IR0090,0,Boyle,,53.967594,-8.304383,,,,
